id,cleabs,code_insee,nom_commune,iris,code_iris,nom_iris,type_iris,area_km2,bin_count,trilib_count,green_area_m2,CODE_IRIS,COM,P22_POP,P22_PMEN,bin_density,population_density,trilib_density,green_ratio,arrondissement_code,distance_to_paris_centroid_m,predicted_bin_density,priority_score,residual,abs_error,suspected_false_zero,is_special_iris,coverage_zero_type,predicted_bin_density_fullfit,priority_score_fullfit,predicted_bin_density_robust,priority_score_robust
iris_ge.772,IRIS____0000000751083105,75108,Paris 8e Arrondissement,3105,751083105,Madeleine 5,A,0.1537445213699213,0,0,0.0,751083105,75108,1367.80083659768,1367.80083659768,0.0,8896.582619075212,0.0,0.0,08,2229.4836470904343,49.92852890756611,49.92852890756611,49.92852890756611,49.92852890756611,False,False,potential_true_zero,18.488309025527627,18.488309025527627,17.41652787942638,17.41652787942638
iris_ge.773,IRIS____0000000751083106,75108,Paris 8e Arrondissement,3106,751083106,Madeleine 6,A,0.1264601150344163,1,0,0.0,751083106,75108,1267.88076513247,1262.8808036937,7.907631585878668,10025.933985489532,0.0,0.0,08,2167.2712171231674,24.190479897494146,16.282848311615478,16.282848311615478,16.282848311615478,False,False,observed_non_zero,14.485475759937017,6.57784417405835,14.755989259691972,6.848357673813305
iris_ge.774,IRIS____0000000751083107,75108,Paris 8e Arrondissement,3107,751083107,Madeleine 7,A,0.0471695944801514,0,0,4770.082484060232,751083107,75108,339.43534410241,339.43534410241,0.0,7196.062375419427,0.0,0.1011262135413828,08,2391.0240024898367,99.47117821847516,99.47117821847516,99.47117821847516,99.47117821847516,False,False,potential_true_zero,40.28306819271696,40.28306819271696,47.84446792768716,47.84446792768716
iris_ge.775,IRIS____0000000751083108,75108,Paris 8e Arrondissement,3108,751083108,Madeleine 8,A,0.051769268904932,4,0,0.0,751083108,75108,357.55603097774,357.55603097774,77.26591633630194,6906.723593766562,0.0,0.0,08,2427.0338796762817,27.076969380558168,-50.18894695574377,-50.18894695574377,50.18894695574377,False,False,observed_non_zero,49.304063974228214,-27.961852362073728,44.59735793037248,-32.66855840592946
iris_ge.776,IRIS____0000000751083208,75108,Paris 8e Arrondissement,3208,751083208,Europe 8,A,0.1215200658583139,102,0,0.0,751083208,75108,737.023326630264,737.023326630264,839.3675503675805,6065.033963111862,0.0,0.0,08,2669.57241170828,54.46491944803171,-784.9026309195488,-784.9026309195488,784.9026309195488,False,False,observed_non_zero,444.0390841514667,-395.32846621611384,447.75930371040806,-391.60824665717246
iris_ge.777,IRIS____0000000751083209,75108,Paris 8e Arrondissement,3209,751083209,Europe 9,A,0.1147398750270971,1,1,0.0,751083209,75108,794.119582779461,794.119582779461,8.71536595071102,6921.042772548955,8.71536595071102,0.0,08,2893.219494971663,129.33283600732676,120.61747005661574,120.61747005661574,120.61747005661574,False,False,observed_non_zero,99.49861637162894,90.78325042091792,85.77842199131616,77.06305604060515
iris_ge.778,IRIS____0000000751083210,75108,Paris 8e Arrondissement,3210,751083210,Europe 10,A,0.0996007490428358,0,0,0.0,751083210,75108,926.564098907178,884.564422821504,0.0,9302.782436994376,0.0,0.0,08,3217.401422376027,74.90406893128795,74.90406893128795,74.90406893128795,74.90406893128795,False,False,potential_true_zero,34.766053456014355,34.766053456014355,32.02524617827209,32.02524617827209
iris_ge.780,IRIS____0000000751093311,75109,Paris 9e Arrondissement,3311,751093311,Saint-Georges 11,A,0.0453699260577009,1,0,0.0,751093311,75109,458.535420453107,458.535420453107,22.04103217466592,10106.593955430895,0.0,0.0,09,2456.524585100436,35.12314145692856,13.082109282262639,13.082109282262639,13.082109282262639,False,False,observed_non_zero,30.95743396644874,8.916401791782821,28.87270672388834,6.83167454922242
iris_ge.784,IRIS____0000000751145625,75114,Paris 14e Arrondissement,5625,751145625,Plaisance 25,A,0.1214437392813083,5,1,4914.616985757129,751145625,75114,1960.72756321823,1774.727327808,41.17132780651756,16145.151448906428,8.234265561303513,0.0404682613928172,14,3851.507688479689,118.91789250871474,77.74656470219719,77.74656470219719,77.74656470219719,False,False,observed_non_zero,67.56713103614055,26.39580322962299,68.08196395885875,26.91063615234119
iris_ge.785,IRIS____0000000751103710,75110,Paris 10e Arrondissement,3710,751103710,Saint-Vincent de Paul 10,A,0.1159059043877122,82,0,2268.2411122779645,751103710,75110,0.0,0.0,707.4704298557999,0.0,0.0,0.0195696770087791,10,2707.1891975291824,94.95642838137952,-612.5140014744204,-612.5140014744204,612.5140014744204,False,True,observed_non_zero,499.53869596436397,-207.93173389143595,538.6541993093947,-168.81623054640522
