id,cleabs,code_insee,nom_commune,iris,code_iris,nom_iris,type_iris,area_km2,bin_count,trilib_count,green_area_m2,CODE_IRIS,COM,P22_POP,P22_PMEN,bin_density,population_density,trilib_density,green_ratio,arrondissement_code,distance_to_paris_centroid_m
iris_ge.770,IRIS____0000000751082902,75108,Paris 8e Arrondissement,2902,751082902,Champs Élysées 2,A,0.1792908812661712,1,0,7274.717107812386,751082902,75108,485.73024738115,479.730293654625,5.577528499708931,2709.1742979390333,0.0,0.04057494199614371,08,2820.7400021575245
iris_ge.772,IRIS____0000000751083105,75108,Paris 8e Arrondissement,3105,751083105,Madeleine 5,A,0.15374452136992137,0,0,0.0,751083105,75108,1367.80083659768,1367.80083659768,0.0,8896.582619075212,0.0,0.0,08,2229.4836470904343
iris_ge.773,IRIS____0000000751083106,75108,Paris 8e Arrondissement,3106,751083106,Madeleine 6,A,0.1264601150344163,1,0,0.0,751083106,75108,1267.88076513247,1262.8808036937,7.907631585878668,10025.933985489533,0.0,0.0,08,2167.2712171231674
iris_ge.774,IRIS____0000000751083107,75108,Paris 8e Arrondissement,3107,751083107,Madeleine 7,A,0.04716959448015149,0,0,4770.082484060232,751083107,75108,339.43534410241,339.43534410241,0.0,7196.062375419427,0.0,0.1011262135413828,08,2391.0240024898367
iris_ge.775,IRIS____0000000751083108,75108,Paris 8e Arrondissement,3108,751083108,Madeleine 8,A,0.05176926890493208,4,0,0.0,751083108,75108,357.55603097774,357.55603097774,77.26591633630194,6906.723593766562,0.0,0.0,08,2427.0338796762817
iris_ge.776,IRIS____0000000751083208,75108,Paris 8e Arrondissement,3208,751083208,Europe 8,A,0.1215200658583139,102,0,0.0,751083208,75108,737.023326630264,737.023326630264,839.3675503675805,6065.033963111862,0.0,0.0,08,2669.57241170828
iris_ge.777,IRIS____0000000751083209,75108,Paris 8e Arrondissement,3209,751083209,Europe 9,A,0.11473987502709714,1,1,0.0,751083209,75108,794.119582779461,794.119582779461,8.71536595071102,6921.042772548955,8.71536595071102,0.0,08,2893.219494971663
iris_ge.778,IRIS____0000000751083210,75108,Paris 8e Arrondissement,3210,751083210,Europe 10,A,0.09960074904283586,0,0,0.0,751083210,75108,926.564098907178,884.564422821504,0.0,9302.782436994377,0.0,0.0,08,3217.401422376027
iris_ge.780,IRIS____0000000751093311,75109,Paris 9e Arrondissement,3311,751093311,Saint-Georges 11,A,0.04536992605770094,1,0,0.0,751093311,75109,458.535420453107,458.535420453107,22.04103217466592,10106.593955430895,0.0,0.0,09,2456.524585100436
iris_ge.784,IRIS____0000000751145625,75114,Paris 14e Arrondissement,5625,751145625,Plaisance 25,A,0.12144373928130836,5,1,4914.616985757129,751145625,75114,1960.72756321823,1774.727327808,41.17132780651756,16145.151448906427,8.234265561303513,0.04046826139281721,14,3851.5076884796886
iris_ge.785,IRIS____0000000751103710,75110,Paris 10e Arrondissement,3710,751103710,Saint-Vincent de Paul 10,A,0.11590590438771221,82,0,2268.2411122779645,751103710,75110,0.0,0.0,707.4704298557999,0.0,0.0,0.019569677008779134,10,2707.1891975291824
iris_ge.786,IRIS____0000000751103711,75110,Paris 10e Arrondissement,3711,751103711,Saint-Vincent de Paul 11,A,0.06407327997201813,0,0,0.0,751103711,75110,0.0,0.0,0.0,0.0,0.0,0.0,10,3031.4692492341856
iris_ge.787,IRIS____0000000751103712,75110,Paris 10e Arrondissement,3712,751103712,Saint-Vincent de Paul 12,A,0.143515469435401,154,0,30.090463713210973,751103712,75110,687.386716889291,687.386716889291,1073.0550553598564,4789.635010034209,0.0,0.00020966704029599579,10,3003.0456807348673
iris_ge.789,IRIS____0000000751104012,75110,Paris 10e Arrondissement,4012,751104012,Hôpital Saint-Louis 12,A,0.10602807265796427,1,2,9260.23492192554,751104012,75110,172.218787493683,172.218787493683,9.43146446909299,1624.2753751569476,18.86292893818598,0.08733757664159483,10,2648.5353422362887
iris_ge.793,IRIS____0000000751135032,75113,Paris 13e Arrondissement,5032,751135032,Gare 32,A,0.2594138192266648,8,0,8070.0586340119835,751135032,75113,439.03105339581,439.03105339581,30.838758027034554,1692.396552753434,0.0,0.031108823184784574,13,4618.18401998072
iris_ge.795,IRIS____0000000751124706,75112,Paris 12e Arrondissement,4706,751124706,Bercy 6,A,0.0900332793441194,2,0,3825.0373993473136,751124706,75112,0.0,0.0,22.21400813754355,0.0,0.0,0.042484705957754824,12,4214.694489047757
iris_ge.796,IRIS____0000000751124707,75112,Paris 12e Arrondissement,4707,751124707,Bercy 7,A,0.07396623189459695,0,0,0.0,751124707,75112,377.095007924733,377.095007924733,0.0,5098.204927649949,0.0,0.0,12,3036.2160144965687
iris_ge.797,IRIS____0000000751124811,75112,Paris 12e Arrondissement,4811,751124811,Quinze-Vingts 11,A,0.1159148662994143,109,0,0.0,751124811,75112,0.0,0.0,940.345302374306,0.0,0.0,0.0,12,2754.5098822762825
iris_ge.798,IRIS____0000000751124812,75112,Paris 12e Arrondissement,4812,751124812,Quinze-Vingts 12,A,0.11066548382188879,8,0,0.0,751124812,75112,1009.10466139524,1009.10466139524,72.2899292870363,9118.513076935076,0.0,0.0,12,2631.349199414922
iris_ge.799,IRIS____0000000751124813,75112,Paris 12e Arrondissement,4813,751124813,Quinze-Vingts 13,A,0.08254187602990491,3,0,0.0,751124813,75112,421.361599795828,409.694911905843,36.34518797359416,5104.822183144574,0.0,0.0,12,3039.543126457664
iris_ge.801,IRIS____0000000751134908,75113,Paris 13e Arrondissement,4908,751134908,Salpêtrière 8,A,0.571405959884941,118,0,5568.088703628815,751134908,75113,929.346914571898,868.347015786664,206.5081715699301,1626.4214583254125,0.0,0.009744540824792959,13,2623.4863301840956
iris_ge.804,IRIS____0000000751155818,75115,Paris 15e Arrondissement,5818,751155818,Necker 18,A,0.09285365143199673,80,0,14617.674950430246,751155818,75115,1213.0493216903,1121.04939684019,861.5708565708871,13064.099289393069,0.0,0.15742703410146233,15,2536.590025193242
iris_ge.805,IRIS____0000000751155819,75115,Paris 15e Arrondissement,5819,751155819,Necker 19,A,0.03488657337455636,10,0,0.0,751155819,75115,0.0,0.0,286.64322782968554,0.0,0.0,0.0,15,2142.3543898162366
iris_ge.807,IRIS____0000000751155920,75115,Paris 15e Arrondissement,5920,751155920,Grenelle 20,A,0.02411865350836393,0,0,0.0,751155920,75115,436.435784962847,436.435784962847,0.0,18095.362778502484,0.0,0.0,15,3916.86641567412
